,Forecast,Lower CI,Upper CI
2024-11-28,170.89238052670177,168.5590157598417,173.22574529356183
2024-11-29,170.94969004447648,167.70442054054263,174.19495954841034
2024-12-02,170.9950712175473,167.0778595705946,174.91228286449999
2024-12-03,171.031006799441,166.56497694792563,175.49703665095637
2024-12-04,171.05946278589215,166.1216607219691,175.9972648498152
2024-12-05,171.08199597228392,165.72566430953378,176.43832763503406
2024-12-06,171.09983912419284,165.36410830831787,176.8355699400678
2024-12-09,171.113968420623,165.02886270248797,177.19907413875802
2024-12-10,171.125156859674,164.71447481914456,177.53583890020346
2024-12-11,171.13401654840777,164.4171162773118,177.85091681950374
2024-12-12,171.14103219054527,164.13399914762715,178.1480652334634
2024-12-13,171.14658760406832,163.86303074393408,178.43014446420256
2024-12-16,171.1509867194746,163.60259913084235,178.69937430810683
2024-12-17,171.15447020747732,163.35143447295908,178.95750594199555
2024-12-18,171.15722864583242,163.10851645205946,179.20594083960538
2024-12-19,171.15941294563564,162.87301073372527,179.445815157546
2024-12-20,171.16114260750084,162.6442243316456,179.67806088335607
2024-12-23,171.16251225930574,162.4215735945994,179.90345092401208
2024-12-24,171.16359683317793,162.2045608190338,180.12263284732208
2024-12-25,171.16445566494815,161.99275687467704,180.33615445521926
2024-12-26,171.16513574034778,161.78578809698132,180.54448338371424
2024-12-27,171.16567426554587,161.58332625613664,180.7480222749551
2024-12-30,171.1661007026573,161.3850807771103,180.94712062820432
2024-12-31,171.16643838158237,161.19079262911066,181.14208413405407
2025-01-01,171.16670577635963,161.00022946889362,181.33318208382565
2025-01-02,171.1669175158601,160.81318173707197,181.5206532946482
2025-01-03,171.16708518411642,160.629459487013,181.70471088121982
2025-01-06,171.16721795407253,160.4488897830023,181.88554612514275
2025-01-07,171.16732308942508,160.2713145453588,182.06333163349137
2025-01-08,171.16740634201236,160.09658874996487,182.23822393405985
2025-01-09,171.16747226649085,159.92457891151756,182.41036562146414
2025-01-10,171.16752446951548,159.75516179598668,182.5798871430443
2025-01-13,171.1675658070557,159.5882233198585,182.74690829425288
2025-01-14,171.16759854064236,159.42365760286322,182.9115394784215
2025-01-15,171.1676244610936,159.26136614781925,183.07388277436795
2025-01-16,171.1676449864885,159.10125712654582,183.2340328464312
2025-01-17,171.1676612397486,158.9432447549047,183.39207772459253
2025-01-20,171.1676741100717,158.78724874323564,183.54809947690774
2025-01-21,171.16768430157882,158.63319381096193,183.7021747921957
2025-01-22,171.16769237183604,158.481009256132,183.85437548754007
2025-01-23,171.16769876235813,158.33062857224635,184.0047689524699
2025-01-24,171.16770382276346,158.18198910599008,184.15341853953683
2025-01-27,171.16770782990116,158.03503175051847,184.30038390928385
2025-01-28,171.1677110029973,157.88970066977816,184.44572133621642
2025-01-29,171.16771351564844,157.74594305003077,184.5894839812661
2025-01-30,171.16771550531894,157.60370887530897,184.7317221353289
2025-01-31,171.16771708086145,157.4629507240027,184.8724834377202
2025-02-03,171.16771832847215,157.32362358416185,185.01181307278245
2025-02-04,171.16771931640642,157.18568468542927,185.14975394738357
2025-02-05,171.16772009871306,157.04909334579153,185.2863468516346
2025-02-06,171.1677207181912,156.91381083156926,185.42163060481312
2025-02-07,171.16772120873176,156.77980022926636,185.55564218819717
2025-02-10,171.16772159717172,156.64702632806606,185.68841686627738
2025-02-11,171.16772190476217,156.51545551190893,185.81998829761542
2025-02-12,171.16772214833108,156.38505566021075,185.9503886364514
2025-02-13,171.16772234120378,156.2557960563883,186.07964862601926
2025-02-14,171.16772249393216,156.12764730345393,186.2077976844104
2025-02-17,171.16772261487182,156.00058124602182,186.33486398372182
2025-02-18,171.16772271063923,155.87457089814015,186.4608745231383
2025-02-19,171.1677227864737,155.74959037642563,186.58585519652175
2025-02-20,171.16772284652404,155.62561483803222,186.70983085501587
2025-02-21,171.16772289407558,155.50262042303328,186.83282536511788
2025-02-24,171.1677229317298,155.3805842008397,186.9548616626199
2025-02-25,171.1677229615467,155.25948412031403,187.07596180277937
2025-02-26,171.16772298515755,155.1392989632736,187.1961470070415
2025-02-27,171.16772300385406,155.020008301106,187.31543770660213
2025-02-28,171.1677230186591,154.90159245424564,187.43385358307256
2025-03-03,171.16772303038263,154.78403245428484,187.55141360648042
2025-03-04,171.16772303966604,154.66731000851286,187.66813607081923
2025-03-05,171.1677230470172,154.55140746669562,187.7840386273388
2025-03-06,171.1677230528383,154.43630778992562,187.899138315751
2025-03-07,171.16772305744783,154.3219945213865,188.01345159350916
2025-03-10,171.16772306109792,154.20845175889048,188.12699436330536
2025-03-11,171.1677230639883,154.09566412905926,188.23978199891732
2025-03-12,171.16772306627706,153.9836167630294,188.35182936952472
2025-03-13,171.16772306808946,153.8722952735742,188.46315086260472
2025-03-14,171.1677230695246,153.76168573354192,188.5737604055073
2025-03-17,171.16772307066105,153.6517746555194,188.6836714858027
2025-03-18,171.16772307156097,153.5425489726367,188.79289717048525
2025-03-19,171.16772307227356,153.43399602043573,188.9014501241114
2025-03-20,171.16772307283784,153.32610351973187,189.00934262594382
2025-03-21,171.16772307328466,153.21885956040222,189.1165865861671
2025-03-24,171.16772307363848,153.1122525860409,189.22319356123606
2025-03-25,171.16772307391867,153.00627137942462,189.3291747684127
2025-03-26,171.16772307414053,152.90090504873743,189.43454109954362
2025-03-27,171.1677230743162,152.79614301450624,189.53930313412616
2025-03-28,171.16772307445532,152.6919749972033,189.64347115170736
2025-03-31,171.1677230745655,152.58839100547402,189.74705514365695
2025-04-01,171.1677230746527,152.4853813249524,189.850064824353
2025-04-02,171.16772307472178,152.38293650762844,189.9525096418151
