Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ABT,ABT,ABT,ABT,ABT,ABT
Date,,,,,,
2024-05-28,100.93627166748047,101.94999694824219,103.58999633789062,101.55999755859375,103.56999969482422,4771100
2024-05-29,99.7284164428711,100.7300033569336,101.7699966430664,100.63999938964844,101.08999633789062,4960900
2024-05-30,100.72836303710938,101.73999786376953,102.61000061035156,100.86000061035156,101.27999877929688,5126700
2024-05-31,101.17388916015625,102.19000244140625,102.30000305175781,101.38999938964844,101.86000061035156,7915700
2024-06-03,101.84712982177734,102.87000274658203,104.12999725341797,101.91999816894531,102.16999816894531,4915100
2024-06-04,102.40156555175781,103.43000030517578,103.48999786376953,102.54000091552734,102.80000305175781,3880400
2024-06-05,102.20354461669922,103.2300033569336,103.41999816894531,101.9800033569336,102.93000030517578,3302300
2024-06-06,103.23320007324219,104.2699966430664,105.0,102.80999755859375,103.29000091552734,9835500
2024-06-07,106.51029968261719,107.58000183105469,108.12999725341797,103.37000274658203,103.86000061035156,8666600
2024-06-10,106.42118835449219,107.48999786376953,108.9800033569336,107.04000091552734,107.62999725341797,8556500
2024-06-11,104.75788879394531,105.80999755859375,107.31999969482422,105.52999877929688,107.31999969482422,7536000
2024-06-12,103.34210968017578,104.37999725341797,105.91000366210938,104.29000091552734,105.91000366210938,4569000
2024-06-13,102.42135620117188,103.44999694824219,103.69999694824219,102.5999984741211,103.63999938964844,4719500
2024-06-14,102.64907836914062,103.68000030517578,103.72000122070312,102.43000030517578,103.29000091552734,3683100
2024-06-17,102.42135620117188,103.44999694824219,103.94000244140625,102.54000091552734,102.91000366210938,3936200
2024-06-18,102.95598602294922,103.98999786376953,104.08999633789062,103.25,103.26000213623047,4501000
2024-06-20,105.51033782958984,106.56999969482422,106.83999633789062,103.47000122070312,103.52999877929688,9154900
2024-06-21,104.66879272460938,105.72000122070312,106.93000030517578,105.23999786376953,106.66000366210938,10329100
2024-06-24,104.25296783447266,105.30000305175781,106.29000091552734,104.94000244140625,106.29000091552734,5201300
2024-06-25,104.44107818603516,105.48999786376953,105.9800033569336,104.81999969482422,105.4000015258789,4722600
2024-06-26,103.8371353149414,104.87999725341797,105.6500015258789,104.31999969482422,105.08999633789062,5406600
2024-06-27,103.60942840576172,104.6500015258789,105.31999969482422,103.91999816894531,105.25,4137600
2024-06-28,102.87678527832031,103.91000366210938,105.16000366210938,103.52999877929688,104.69999694824219,8283600
2024-07-01,102.17384338378906,103.19999694824219,105.51000213623047,102.61000061035156,104.16000366210938,4588900
2024-07-02,102.17384338378906,103.19999694824219,103.38999938964844,102.69999694824219,102.69999694824219,3650500
2024-07-03,101.3125,102.33000183105469,103.66000366210938,102.18000030517578,103.36000061035156,2017800
2024-07-05,102.9856948852539,104.0199966430664,104.06999969482422,101.76000213623047,102.02999877929688,6582700
2024-07-08,101.1045913696289,102.12000274658203,103.8499984741211,101.94000244140625,103.77999877929688,4542000
2024-07-09,100.62935638427734,101.63999938964844,102.58999633789062,100.75,102.38999938964844,6268500
2024-07-10,102.02533721923828,103.05000305175781,103.08000183105469,101.2699966430664,101.41999816894531,6598900
2024-07-11,103.14409637451172,104.18000030517578,104.63999938964844,103.05999755859375,103.37999725341797,5025300
2024-07-12,103.18370819091797,104.22000122070312,104.93000030517578,104.11000061035156,104.66999816894531,4277600
2024-07-15,102.4770278930664,102.95999908447266,104.16000366210938,102.58000183105469,103.93000030517578,4970800
2024-07-16,102.2381591796875,102.72000122070312,103.87000274658203,102.51000213623047,102.91999816894531,7656900
2024-07-17,104.18896484375,104.68000030517578,105.6500015258789,102.5,102.6500015258789,13438300
2024-07-18,99.6005859375,100.06999969482422,104.1500015258789,99.70999908447266,102.38999938964844,13078800
2024-07-19,101.5513916015625,102.02999877929688,102.4000015258789,100.08000183105469,100.61000061035156,11963600
2024-07-22,103.23346710205078,103.72000122070312,103.83000183105469,102.30999755859375,102.5,7880300
2024-07-23,103.43252563476562,103.91999816894531,104.33000183105469,103.37000274658203,104.01000213623047,5894500
2024-07-24,106.75686645507812,107.26000213623047,107.30999755859375,103.54000091552734,104.22000122070312,8680900
2024-07-25,105.46295928955078,105.95999908447266,108.70999908447266,105.91999816894531,107.0199966430664,6356600
2024-07-26,104.746337890625,105.23999786376953,107.13999938964844,104.66000366210938,106.45999908447266,8611600
2024-07-29,104.2785415649414,104.7699966430664,105.18000030517578,99.91999816894531,100.58999633789062,19452700
2024-07-30,104.82595825195312,105.31999969482422,105.68000030517578,102.77999877929688,104.76000213623047,9126300
2024-07-31,105.44305419921875,105.94000244140625,106.83000183105469,103.55000305175781,105.5,8238400
2024-08-01,109.63330841064453,110.1500015258789,110.68000030517578,106.33000183105469,106.6500015258789,9069200
2024-08-02,110.7878646850586,111.30999755859375,112.04000091552734,108.4000015258789,110.18000030517578,9885700
2024-08-05,108.12042999267578,108.62999725341797,112.0,108.37000274658203,111.33999633789062,7121400
2024-08-06,108.9863510131836,109.5,110.63999938964844,108.62999725341797,108.94999694824219,5634800
2024-08-07,109.4242935180664,109.94000244140625,112.3499984741211,109.4000015258789,109.61000061035156,6365100
2024-08-08,109.2451400756836,109.76000213623047,111.22000122070312,109.22000122070312,109.94999694824219,5476600
2024-08-09,108.20005798339844,108.70999908447266,109.27999877929688,107.69000244140625,109.27999877929688,5435000
2024-08-12,107.2943344116211,107.80000305175781,108.4000015258789,107.11000061035156,108.4000015258789,4795900
2024-08-13,107.73226165771484,108.23999786376953,108.55999755859375,107.5999984741211,107.80000305175781,4920400
2024-08-14,109.37452697753906,109.88999938964844,110.18000030517578,107.70999908447266,108.06999969482422,5822900
2024-08-15,110.41960144042969,110.94000244140625,111.33000183105469,109.76000213623047,110.47000122070312,7458500
2024-08-16,110.47931671142578,111.0,111.5999984741211,110.56999969482422,111.36000061035156,4643300
2024-08-19,111.3750991821289,111.9000015258789,112.25,110.83999633789062,111.0,3495800
2024-08-20,110.25039672851562,110.7699966430664,112.08999633789062,110.33000183105469,111.81999969482422,5822400
2024-08-21,110.86748504638672,111.38999938964844,111.44999694824219,110.68000030517578,110.97000122070312,4081400
2024-08-22,111.57415771484375,112.0999984741211,112.1500015258789,111.05000305175781,111.79000091552734,3690400
2024-08-23,112.16139221191406,112.69000244140625,112.77999877929688,111.88999938964844,112.4000015258789,4511600
2024-08-26,112.17134094238281,112.69999694824219,113.26000213623047,112.05999755859375,112.73999786376953,3212700
2024-08-27,112.56946563720703,113.0999984741211,113.16999816894531,112.13999938964844,113.05999755859375,2705300
2024-08-28,112.37040710449219,112.9000015258789,113.41999816894531,112.37000274658203,113.0999984741211,3836700
2024-08-29,112.23106384277344,112.76000213623047,113.5,112.5199966430664,113.30000305175781,3375800
2024-08-30,112.7386703491211,113.2699966430664,113.47000122070312,111.88999938964844,113.0,4320100
2024-09-03,114.12215423583984,114.66000366210938,114.83000183105469,113.36000061035156,113.36000061035156,4436900
2024-09-04,113.86337280273438,114.4000015258789,115.58999633789062,113.56999969482422,114.69000244140625,3659200
2024-09-05,112.56946563720703,113.0999984741211,114.4800033569336,112.5199966430664,114.26000213623047,2928000
2024-09-06,113.3259048461914,113.86000061035156,114.33999633789062,113.01000213623047,113.62999725341797,3802200
2024-09-09,115.88385009765625,116.43000030517578,116.7300033569336,114.31999969482422,114.45999908447266,5101000
2024-09-10,116.56066131591797,117.11000061035156,117.25,115.43000030517578,116.1500015258789,4963700
