Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ACET,ACET,ACET,ACET,ACET,ACET
Date,,,,,,
2024-05-28,1.559999942779541,1.559999942779541,1.6299999952316284,1.5,1.5099999904632568,685800
2024-05-29,1.4500000476837158,1.4500000476837158,1.524999976158142,1.4500000476837158,1.5099999904632568,446700
2024-05-30,1.4800000190734863,1.4800000190734863,1.5199999809265137,1.4199999570846558,1.4700000286102295,291500
2024-05-31,1.4500000476837158,1.4500000476837158,1.5260000228881836,1.4199999570846558,1.5,452800
2024-06-03,1.440000057220459,1.440000057220459,1.590000033378601,1.440000057220459,1.5,421300
2024-06-04,1.3600000143051147,1.3600000143051147,1.4600000381469727,1.350000023841858,1.4600000381469727,775500
2024-06-05,1.440000057220459,1.440000057220459,1.5,1.4049999713897705,1.4299999475479126,1443700
2024-06-06,1.399999976158142,1.399999976158142,1.5,1.3799999952316284,1.440000057220459,901400
2024-06-07,1.350000023841858,1.350000023841858,1.399999976158142,1.3220000267028809,1.399999976158142,665400
2024-06-10,1.309999942779541,1.309999942779541,1.3799999952316284,1.2699999809265137,1.3700000047683716,558100
2024-06-11,1.2899999618530273,1.2899999618530273,1.309999942779541,1.2450000047683716,1.2799999713897705,920200
2024-06-12,1.399999976158142,1.399999976158142,1.4299999475479126,1.2999999523162842,1.3200000524520874,721100
2024-06-13,1.4500000476837158,1.4500000476837158,1.4900000095367432,1.3600000143051147,1.4199999570846558,578100
2024-06-14,1.350000023841858,1.350000023841858,1.4800000190734863,1.340000033378601,1.4600000381469727,495900
2024-06-17,1.3200000524520874,1.3200000524520874,1.340000033378601,1.2999999523162842,1.340000033378601,612300
2024-06-18,1.340000033378601,1.340000033378601,1.3799999952316284,1.2999999523162842,1.2999999523162842,435100
2024-06-20,1.3600000143051147,1.3600000143051147,1.399999976158142,1.3300000429153442,1.340000033378601,476000
2024-06-21,1.3700000047683716,1.3700000047683716,1.399999976158142,1.3600000143051147,1.3600000143051147,534600
2024-06-24,1.5,1.5,1.5149999856948853,1.399999976158142,1.399999976158142,3262800
2024-06-25,1.4700000286102295,1.4700000286102295,1.5,1.409999966621399,1.4700000286102295,964300
2024-06-26,1.340000033378601,1.340000033378601,1.475000023841858,1.3200000524520874,1.440000057220459,1003200
2024-06-27,1.340000033378601,1.340000033378601,1.3799999952316284,1.2699999809265137,1.340000033378601,626700
2024-06-28,1.2100000381469727,1.2100000381469727,1.340000033378601,1.2100000381469727,1.340000033378601,8136900
2024-07-01,1.149999976158142,1.149999976158142,1.2400000095367432,1.149999976158142,1.2200000286102295,1658100
2024-07-02,1.100000023841858,1.100000023841858,1.159999966621399,1.090000033378601,1.159999966621399,1185800
2024-07-03,1.090000033378601,1.090000033378601,1.1200000047683716,1.0499999523162842,1.100000023841858,830900
2024-07-05,1.0700000524520874,1.0700000524520874,1.1299999952316284,1.0700000524520874,1.100000023841858,721500
2024-07-08,1.1699999570846558,1.1699999570846558,1.2000000476837158,1.149999976158142,1.2000000476837158,1969600
2024-07-09,1.2100000381469727,1.2100000381469727,1.2300000190734863,1.1699999570846558,1.1799999475479126,1138400
2024-07-10,1.2699999809265137,1.2699999809265137,1.2999999523162842,1.2050000429153442,1.2200000286102295,1240200
2024-07-11,1.2599999904632568,1.2599999904632568,1.2799999713897705,1.2200000286102295,1.2599999904632568,975300
2024-07-12,1.2100000381469727,1.2100000381469727,1.2699999809265137,1.2000000476837158,1.2599999904632568,1117700
2024-07-15,1.2300000190734863,1.2300000190734863,1.2799999713897705,1.1799999475479126,1.2200000286102295,950000
2024-07-16,1.2799999713897705,1.2799999713897705,1.3049999475479126,1.2100000381469727,1.25,3149100
2024-07-17,1.309999942779541,1.309999942779541,1.350000023841858,1.25,1.2799999713897705,1392300
2024-07-18,1.2300000190734863,1.2300000190734863,1.3200000524520874,1.2200000286102295,1.3200000524520874,983300
2024-07-19,1.2400000095367432,1.2400000095367432,1.2599999904632568,1.159999966621399,1.2599999904632568,1226300
2024-07-22,1.3700000047683716,1.3700000047683716,1.3799999952316284,1.2200000286102295,1.2400000095367432,1634500
2024-07-23,1.440000057220459,1.440000057220459,1.4500000476837158,1.3350000381469727,1.3700000047683716,990300
2024-07-24,1.4500000476837158,1.4500000476837158,1.5,1.3899999856948853,1.3899999856948853,759400
2024-07-25,1.5099999904632568,1.5099999904632568,1.5190000534057617,1.4299999475479126,1.440000057220459,527800
2024-07-26,1.590000033378601,1.590000033378601,1.6299999952316284,1.399999976158142,1.5199999809265137,1008300
