Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AKAN,AKAN,AKAN,AKAN,AKAN,AKAN
Date,,,,,,
2024-05-28,7.039999961853027,7.039999961853027,7.340000152587891,6.420000076293945,7.099999904632568,559250
2024-05-29,5.980000019073486,5.980000019073486,6.78000020980835,5.860000133514404,6.78000020980835,279950
2024-05-30,5.739999771118164,5.739999771118164,6.179999828338623,5.579999923706055,5.71999979019165,180050
2024-05-31,5.199999809265137,5.199999809265137,5.909999847412109,5.059999942779541,5.679999828338623,128450
2024-06-03,5.300000190734863,5.300000190734863,5.480000019073486,5.0,5.300000190734863,115450
2024-06-04,5.019999980926514,5.019999980926514,5.460000038146973,5.019999980926514,5.199999809265137,108450
2024-06-05,4.880000114440918,4.880000114440918,5.110000133514404,4.480000019073486,5.059999942779541,122750
2024-06-06,4.920000076293945,4.920000076293945,5.039999961853027,4.800000190734863,4.820000171661377,47850
2024-06-07,4.440000057220459,4.440000057220459,4.940000057220459,4.400000095367432,4.860000133514404,93300
2024-06-10,5.420000076293945,5.420000076293945,5.699999809265137,4.239999771118164,4.5,873650
2024-06-11,5.239999771118164,5.239999771118164,6.159999847412109,4.619999885559082,5.900000095367432,1392050
2024-06-12,4.900000095367432,4.900000095367432,5.599999904632568,4.742000102996826,4.960000038146973,225900
2024-06-13,5.039999961853027,5.039999961853027,5.177999973297119,4.682000160217285,4.820000171661377,88450
2024-06-14,4.800000190734863,4.800000190734863,5.400000095367432,4.739999771118164,4.880000114440918,124400
2024-06-17,4.539999961853027,4.539999961853027,4.900000095367432,4.340000152587891,4.760000228881836,46250
2024-06-18,4.460000038146973,4.460000038146973,4.679999828338623,4.320000171661377,4.679999828338623,75500
2024-06-20,4.559999942779541,4.559999942779541,5.260000228881836,4.420000076293945,4.420000076293945,462950
2024-06-21,4.679999828338623,4.679999828338623,5.760000228881836,4.564000129699707,5.0,688200
2024-06-24,4.699999809265137,4.699999809265137,4.800000190734863,4.599999904632568,4.71999979019165,68650
2024-06-25,4.78000020980835,4.78000020980835,4.900000095367432,4.639999866485596,4.639999866485596,81200
2024-06-26,4.699999809265137,4.699999809265137,4.960000038146973,4.659999847412109,4.699999809265137,152400
2024-06-27,4.800000190734863,4.800000190734863,4.800000190734863,4.699999809265137,4.800000190734863,25900
2024-06-28,4.619999885559082,4.619999885559082,4.794000148773193,4.519999980926514,4.71999979019165,54100
2024-07-01,4.519999980926514,4.519999980926514,4.619999885559082,4.420000076293945,4.619999885559082,33150
2024-07-02,4.460000038146973,4.460000038146973,4.579999923706055,4.460000038146973,4.480000019073486,16300
