Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AROC,AROC,AROC,AROC,AROC,AROC
Date,,,,,,
2024-05-28,19.35140609741211,19.700000762939453,20.049999237060547,19.649999618530273,19.90999984741211,1322700
2024-05-29,19.23352813720703,19.579999923706055,19.950000762939453,19.510000228881836,19.6299991607666,1771000
2024-05-30,19.341583251953125,19.690000534057617,19.799999237060547,19.559999465942383,19.59000015258789,1499900
2024-05-31,19.88184928894043,20.239999771118164,20.329999923706055,19.639999389648438,19.739999771118164,2023900
2024-06-03,19.12547492980957,19.469999313354492,20.600000381469727,19.299999237060547,20.549999237060547,1288700
2024-06-04,18.40839385986328,18.739999771118164,19.31999969482422,18.670000076293945,19.31999969482422,1665700
2024-06-05,18.81113624572754,19.149999618530273,19.200000762939453,18.639999389648438,18.75,1266000
2024-06-06,18.536094665527344,18.8700008392334,19.1200008392334,18.739999771118164,19.059999465942383,1001100
2024-06-07,18.57538414001465,18.90999984741211,19.049999237060547,18.700000762939453,18.8700008392334,819400
2024-06-10,18.99777603149414,19.34000015258789,19.3700008392334,18.719999313354492,18.899999618530273,1172600
2024-06-11,18.889720916748047,19.229999542236328,19.420000076293945,19.049999237060547,19.139999389648438,934900
2024-06-12,18.929014205932617,19.270000457763672,19.649999618530273,19.260000228881836,19.5,994500
2024-06-13,18.467330932617188,18.799999237060547,19.219999313354492,18.59000015258789,19.18000030517578,962400
2024-06-14,18.172639846801758,18.5,18.770000457763672,18.440000534057617,18.700000762939453,1327000
2024-06-17,18.437862396240234,18.770000457763672,18.829999923706055,18.459999084472656,18.540000915527344,1224100
2024-06-18,18.752199172973633,19.09000015258789,19.18000030517578,18.760000228881836,18.799999237060547,1135600
2024-06-20,18.653968811035156,18.989999771118164,19.209999084472656,18.8700008392334,19.1200008392334,872400
2024-06-21,18.62449836730957,18.959999084472656,19.06999969482422,18.799999237060547,19.0,2392400
2024-06-24,19.213882446289062,19.559999465942383,19.68000030517578,18.950000762939453,18.959999084472656,1099700
2024-06-25,19.2728214263916,19.6200008392334,19.68000030517578,19.43000030517578,19.56999969482422,1040300
2024-06-26,19.469282150268555,19.81999969482422,19.84000015258789,19.420000076293945,19.479999542236328,1218700
2024-06-27,19.665742874145508,20.020000457763672,20.149999618530273,19.790000915527344,19.8700008392334,825200
2024-06-28,19.86220359802246,20.219999313354492,20.389999389648438,19.969999313354492,20.190000534057617,8000800
2024-07-01,19.872026443481445,20.229999542236328,20.530000686645508,19.979999542236328,20.329999923706055,1196000
2024-07-02,20.039018630981445,20.399999618530273,20.540000915527344,20.229999542236328,20.270000457763672,801900
2024-07-03,20.539993286132812,20.90999984741211,20.959999084472656,20.3700008392334,20.3700008392334,864900
2024-07-05,19.783618927001953,20.139999389648438,20.850000381469727,20.010000228881836,20.84000015258789,658200
2024-07-08,19.94078826904297,20.299999237060547,20.40999984741211,20.040000915527344,20.139999389648438,874600
2024-07-09,19.577335357666016,19.93000030517578,20.15999984741211,19.81999969482422,20.100000381469727,1482600
2024-07-10,20.186365127563477,20.549999237060547,20.549999237060547,19.90999984741211,20.020000457763672,908600
2024-07-11,21.109731674194336,21.489999771118164,21.510000228881836,20.600000381469727,20.700000762939453,1369500
2024-07-12,21.296369552612305,21.68000030517578,21.90999984741211,21.559999465942383,21.700000762939453,1272800
2024-07-15,22.150972366333008,22.549999237060547,22.899999618530273,21.829999923706055,21.950000762939453,1591600
2024-07-16,22.681419372558594,23.09000015258789,23.18000030517578,22.520000457763672,22.530000686645508,1290200
2024-07-17,22.386728286743164,22.790000915527344,23.440000534057617,22.729999542236328,23.09000015258789,1072300
2024-07-18,22.5930118560791,23.0,23.260000228881836,22.639999389648438,22.790000915527344,912900
2024-07-19,22.475133895874023,22.8799991607666,23.270000457763672,22.690000534057617,22.899999618530273,835600
2024-07-22,22.936819076538086,23.350000381469727,23.420000076293945,22.639999389648438,22.90999984741211,992500
2024-07-23,21.649999618530273,22.040000915527344,22.43000030517578,21.649999618530273,22.309999465942383,8386600
2024-07-24,21.296369552612305,21.68000030517578,22.25,21.510000228881836,22.170000076293945,5321600
2024-07-25,20.982032775878906,21.360000610351562,21.8700008392334,21.350000381469727,21.639999389648438,2119200
2024-07-26,21.443716049194336,21.829999923706055,22.049999237060547,21.360000610351562,21.510000228881836,2037000
2024-07-29,21.24725341796875,21.6299991607666,22.149999618530273,21.479999542236328,21.889999389648438,2097700
2024-07-30,21.129377365112305,21.510000228881836,21.93000030517578,21.489999771118164,21.530000686645508,2163300
2024-07-31,20.36318016052246,20.729999542236328,21.170000076293945,19.75,21.0,3558500
2024-08-01,19.184415817260742,19.530000686645508,20.440000534057617,19.010000228881836,20.219999313354492,3261200
2024-08-02,18.349454879760742,18.68000030517578,19.329999923706055,18.459999084472656,19.0,3000400
2024-08-05,17.514495849609375,17.829999923706055,18.06999969482422,17.270000457763672,17.65999984741211,2668600
2024-08-06,18.57042121887207,18.729999542236328,19.040000915527344,17.600000381469727,17.75,2326100
2024-08-07,18.30272102355957,18.459999084472656,19.110000610351562,18.450000762939453,18.950000762939453,2023400
