Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BLAC,BLAC,BLAC,BLAC,BLAC,BLAC
Date,,,,,,
2024-05-28,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,100
2024-05-29,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0
2024-05-30,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,100
2024-05-31,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0
2024-06-03,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0
2024-06-04,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0
2024-06-05,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,100
2024-06-06,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,100
2024-06-07,10.75,10.75,10.75,10.75,10.75,100
2024-06-10,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,100
2024-06-11,10.75,10.75,10.75,10.75,10.75,100
2024-06-12,10.75,10.75,10.75,10.75,10.75,100
2024-06-13,10.75,10.75,10.75,10.75,10.75,100
2024-06-14,10.75,10.75,10.75,10.75,10.75,0
2024-06-17,10.75,10.75,10.75,10.75,10.75,0
2024-06-18,10.75,10.75,10.75,10.75,10.75,0
2024-06-20,10.75,10.75,10.75,10.75,10.75,0
2024-06-21,10.75,10.75,10.75,10.75,10.75,0
2024-06-24,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,900
2024-06-25,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0
2024-06-26,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0
2024-06-27,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0
2024-06-28,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,300
2024-07-01,10.789999961853027,10.789999961853027,10.800000190734863,10.779999732971191,10.779999732971191,6800
2024-07-02,10.8100004196167,10.8100004196167,11.300000190734863,10.760000228881836,10.760000228881836,9200
2024-07-03,10.800000190734863,10.800000190734863,11.510000228881836,10.699999809265137,10.699999809265137,5600
2024-07-05,10.789999961853027,10.789999961853027,10.989999771118164,10.789999961853027,10.989999771118164,300
