Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BORR,BORR,BORR,BORR,BORR,BORR
Date,,,,,,
2024-05-28,7.25,7.25,7.260000228881836,6.989999771118164,6.989999771118164,3039500
2024-05-29,6.880000114440918,6.880000114440918,7.215000152587891,6.880000114440918,7.139999866485596,1901000
2024-05-30,6.809999942779541,6.809999942779541,6.989999771118164,6.784999847412109,6.949999809265137,1388600
2024-05-31,6.889999866485596,6.889999866485596,6.914999961853027,6.739999771118164,6.809999942779541,1187600
2024-06-03,6.650000095367432,6.650000095367432,6.849999904632568,6.579999923706055,6.800000190734863,2511200
2024-06-04,6.460000038146973,6.460000038146973,6.590000152587891,6.375,6.510000228881836,2940000
2024-06-05,6.429999828338623,6.429999828338623,6.599999904632568,6.429999828338623,6.480000019073486,1027000
2024-06-06,6.25,6.25,6.480000019073486,6.25,6.409999847412109,1874100
2024-06-07,6.150000095367432,6.150000095367432,6.360000133514404,6.139999866485596,6.190000057220459,1464200
2024-06-10,6.519999980926514,6.519999980926514,6.53000020980835,6.260000228881836,6.289999961853027,2157200
2024-06-11,6.599999904632568,6.599999904632568,6.630000114440918,6.429999828338623,6.440000057220459,1633000
2024-06-12,6.630000114440918,6.630000114440918,6.820000171661377,6.619999885559082,6.78000020980835,1868600
2024-06-13,6.400000095367432,6.400000095367432,6.619999885559082,6.349999904632568,6.579999923706055,825200
2024-06-14,6.179999828338623,6.179999828338623,6.394999980926514,6.179999828338623,6.360000133514404,1231900
2024-06-17,6.25,6.25,6.300000190734863,6.199999809265137,6.199999809265137,815600
2024-06-18,6.28000020980835,6.28000020980835,6.360000133514404,6.269999980926514,6.309999942779541,866500
2024-06-20,6.360000133514404,6.360000133514404,6.389999866485596,6.304999828338623,6.340000152587891,831500
2024-06-21,6.21999979019165,6.21999979019165,6.360000133514404,6.190000057220459,6.320000171661377,1313100
2024-06-24,6.199999809265137,6.199999809265137,6.260000228881836,6.079999923706055,6.099999904632568,1100300
2024-06-25,6.130000114440918,6.130000114440918,6.190000057220459,6.025000095367432,6.099999904632568,1144600
2024-06-26,6.28000020980835,6.28000020980835,6.300000190734863,6.144999980926514,6.190000057220459,1190700
2024-06-27,6.460000038146973,6.460000038146973,6.489999771118164,6.349999904632568,6.349999904632568,1189900
2024-06-28,6.449999809265137,6.449999809265137,6.539999961853027,6.369999885559082,6.5,12035400
2024-07-01,6.260000228881836,6.260000228881836,6.46999979019165,6.239999771118164,6.400000095367432,1478200
2024-07-02,6.309999942779541,6.309999942779541,6.46999979019165,6.289999961853027,6.300000190734863,1118800
2024-07-03,6.329999923706055,6.329999923706055,6.449999809265137,6.289999961853027,6.369999885559082,641900
2024-07-05,6.25,6.25,6.320000171661377,6.224999904632568,6.320000171661377,967800
2024-07-08,6.389999866485596,6.389999866485596,6.460000038146973,6.21999979019165,6.230000019073486,1082200
2024-07-09,6.25,6.25,6.329999923706055,6.179999828338623,6.320000171661377,1628400
2024-07-10,6.28000020980835,6.28000020980835,6.320000171661377,6.230000019073486,6.25,626800
2024-07-11,6.519999980926514,6.519999980926514,6.565000057220459,6.28000020980835,6.28000020980835,1436300
2024-07-12,6.579999923706055,6.579999923706055,6.610000133514404,6.501999855041504,6.579999923706055,1104800
2024-07-15,6.840000152587891,6.840000152587891,6.880000114440918,6.539999961853027,6.610000133514404,1939400
2024-07-16,6.920000076293945,6.920000076293945,6.940000057220459,6.739999771118164,6.800000190734863,2298600
2024-07-17,7.010000228881836,7.010000228881836,7.039999961853027,6.800000190734863,6.800000190734863,2415900
2024-07-18,6.860000133514404,6.860000133514404,7.090000152587891,6.829999923706055,6.920000076293945,2045900
2024-07-19,6.599999904632568,6.599999904632568,6.824999809265137,6.579999923706055,6.75,1312200
2024-07-22,6.710000038146973,6.710000038146973,6.75,6.539999961853027,6.630000114440918,1161300
2024-07-23,6.75,6.75,6.78000020980835,6.565000057220459,6.659999847412109,1253400
2024-07-24,6.590000152587891,6.590000152587891,6.820000171661377,6.559999942779541,6.75,1368600
2024-07-25,6.75,6.75,6.84499979019165,6.519999980926514,6.619999885559082,1823700
2024-07-26,6.699999809265137,6.699999809265137,6.839000225067139,6.610000133514404,6.78000020980835,2860800
2024-07-29,6.449999809265137,6.449999809265137,6.75,6.40500020980835,6.75,1578600
2024-07-30,6.599999904632568,6.599999904632568,6.65500020980835,6.389999866485596,6.420000076293945,1622100
2024-07-31,6.849999904632568,6.849999904632568,6.929999828338623,6.710000038146973,6.820000171661377,2313200
2024-08-01,6.510000228881836,6.510000228881836,6.835000038146973,6.445000171661377,6.820000171661377,1958600
2024-08-02,5.989999771118164,5.989999771118164,6.244999885559082,5.960000038146973,6.21999979019165,2870700
2024-08-05,5.670000076293945,5.670000076293945,5.78000020980835,5.485000133514404,5.559999942779541,2634200
2024-08-06,5.820000171661377,5.820000171661377,5.880000114440918,5.650000095367432,5.710000038146973,2416800
2024-08-07,5.789999961853027,5.789999961853027,6.059999942779541,5.78000020980835,5.989999771118164,1461700
2024-08-08,6.03000020980835,6.03000020980835,6.059999942779541,5.829999923706055,5.900000095367432,891300
2024-08-09,6.039999961853027,6.039999961853027,6.099999904632568,5.989999771118164,6.050000190734863,843500
2024-08-12,6.400000095367432,6.400000095367432,6.434999942779541,6.190000057220459,6.289999961853027,1943500
2024-08-13,6.429999828338623,6.429999828338623,6.454999923706055,6.309999942779541,6.360000133514404,1166100
2024-08-14,6.489999771118164,6.489999771118164,6.550000190734863,6.40500020980835,6.550000190734863,1590700
2024-08-15,6.679999828338623,6.679999828338623,6.820000171661377,6.449999809265137,6.53000020980835,1793400
2024-08-16,6.25,6.25,6.519999980926514,6.21999979019165,6.510000228881836,1872900
2024-08-19,6.25,6.25,6.375,6.199999809265137,6.289999961853027,1412800
2024-08-20,6.119999885559082,6.119999885559082,6.28000020980835,6.110000133514404,6.260000228881836,1129500
2024-08-21,6.079999923706055,6.079999923706055,6.260000228881836,6.070000171661377,6.210000038146973,1134300
2024-08-22,6.03000020980835,6.03000020980835,6.139999866485596,6.005000114440918,6.139999866485596,1226100
2024-08-23,6.440000057220459,6.440000057220459,6.460000038146973,6.135000228881836,6.139999866485596,1981800
2024-08-26,6.539999961853027,6.539999961853027,6.650000095367432,6.449999809265137,6.579999923706055,1323200
2024-08-27,6.46999979019165,6.46999979019165,6.539999961853027,6.460000038146973,6.480000019073486,1038500
2024-08-28,6.010000228881836,6.010000228881836,6.135000228881836,5.78000020980835,6.019999980926514,3051400
2024-08-29,6.03000020980835,6.03000020980835,6.091000080108643,5.96999979019165,6.059999942779541,1162400
2024-08-30,6.070000171661377,6.070000171661377,6.070000171661377,5.889999866485596,5.96999979019165,1974100
2024-09-03,5.630000114440918,5.630000114440918,5.875,5.539999961853027,5.829999923706055,4220500
2024-09-04,5.599999904632568,5.599999904632568,5.78000020980835,5.585000038146973,5.590000152587891,3564500
2024-09-05,5.630000114440918,5.630000114440918,5.769999980926514,5.525000095367432,5.630000114440918,1960700
2024-09-06,5.389999866485596,5.389999866485596,5.644999980926514,5.369999885559082,5.610000133514404,2502100
2024-09-09,5.429999828338623,5.429999828338623,5.505000114440918,5.400000095367432,5.400000095367432,1024400
2024-09-10,5.139999866485596,5.139999866485596,5.360000133514404,5.085000038146973,5.349999904632568,1983500
2024-09-11,5.230000019073486,5.230000019073486,5.289999961853027,5.09499979019165,5.260000228881836,1448600
2024-09-12,5.28000020980835,5.28000020980835,5.324999809265137,5.131999969482422,5.25,1102100
2024-09-13,5.480000019073486,5.480000019073486,5.599999904632568,5.389999866485596,5.53000020980835,3048300
2024-09-16,5.590000152587891,5.590000152587891,5.630000114440918,5.454999923706055,5.550000190734863,1466800
2024-09-17,5.670000076293945,5.670000076293945,5.679999828338623,5.559999942779541,5.599999904632568,1673400
2024-09-18,5.570000171661377,5.570000171661377,5.815000057220459,5.53000020980835,5.630000114440918,1498200
2024-09-19,5.78000020980835,5.78000020980835,5.795000076293945,5.675000190734863,5.769999980926514,1572000
2024-09-20,5.619999885559082,5.619999885559082,5.724999904632568,5.619999885559082,5.690000057220459,2145900
2024-09-23,5.659999847412109,5.659999847412109,5.690000057220459,5.53000020980835,5.670000076293945,1422900
2024-09-24,5.730000019073486,5.730000019073486,5.809999942779541,5.659999847412109,5.75,1133300
2024-09-25,5.519999980926514,5.519999980926514,5.650000095367432,5.485000133514404,5.639999866485596,1046300
2024-09-26,5.340000152587891,5.340000152587891,5.438000202178955,5.275000095367432,5.309999942779541,2052100
2024-09-27,5.619999885559082,5.619999885559082,5.699999809265137,5.46999979019165,5.480000019073486,1833100
2024-09-30,5.489999771118164,5.489999771118164,5.559999942779541,5.429999828338623,5.510000228881836,2692500
2024-10-01,5.489999771118164,5.489999771118164,5.59499979019165,5.389999866485596,5.429999828338623,2519000
2024-10-02,5.510000228881836,5.510000228881836,5.598999977111816,5.465000152587891,5.579999923706055,1344300
2024-10-03,5.650000095367432,5.650000095367432,5.659999847412109,5.449999809265137,5.519999980926514,1481100
2024-10-04,5.599999904632568,5.599999904632568,5.695000171661377,5.559999942779541,5.659999847412109,1590300
2024-10-07,5.559999942779541,5.559999942779541,5.709000110626221,5.539999961853027,5.659999847412109,1451800
2024-10-08,5.309999942779541,5.309999942779541,5.460000038146973,5.215000152587891,5.460000038146973,2310500
2024-10-09,5.239999771118164,5.239999771118164,5.304999828338623,5.235000133514404,5.28000020980835,2015300
2024-10-10,5.28000020980835,5.28000020980835,5.335000038146973,5.230000019073486,5.269999980926514,1444600
2024-10-11,5.369999885559082,5.369999885559082,5.434999942779541,5.25,5.28000020980835,1789000
2024-10-14,5.289999961853027,5.289999961853027,5.309999942779541,5.21999979019165,5.25,1283000
2024-10-15,5.099999904632568,5.099999904632568,5.164999961853027,5.090000152587891,5.139999866485596,3246700
2024-10-16,5.25,5.25,5.260000228881836,5.085000038146973,5.119999885559082,2138800
2024-10-17,5.210000038146973,5.210000038146973,5.224999904632568,5.079999923706055,5.150000095367432,1912500
2024-10-18,5.170000076293945,5.170000076293945,5.244999885559082,5.099999904632568,5.21999979019165,2428200
2024-10-21,5.070000171661377,5.070000171661377,5.204999923706055,5.039999961853027,5.170000076293945,2014900
2024-10-22,4.739999771118164,4.739999771118164,5.005000114440918,4.715000152587891,4.940000057220459,5162700
2024-10-23,4.699999809265137,4.699999809265137,4.769999980926514,4.679999828338623,4.760000228881836,2505400
2024-10-24,4.670000076293945,4.670000076293945,4.730000019073486,4.590000152587891,4.690000057220459,3160100
2024-10-25,4.699999809265137,4.699999809265137,4.864999771118164,4.679999828338623,4.849999904632568,1875800
2024-10-28,4.449999809265137,4.449999809265137,4.460000038146973,4.170000076293945,4.349999904632568,7705900
2024-10-29,4.289999961853027,4.289999961853027,4.46999979019165,4.28000020980835,4.46999979019165,3457900
