Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CSX,CSX,CSX,CSX,CSX,CSX
Date,,,,,,
2024-05-28,33.24140548706055,33.47999954223633,33.91999816894531,33.45000076293945,33.77000045776367,9949100
2024-05-29,33.00312042236328,33.2400016784668,33.470001220703125,33.08000183105469,33.209999084472656,8656400
2024-05-30,33.062686920166016,33.29999923706055,33.52000045776367,33.20000076293945,33.2400016784668,12463900
2024-05-31,33.630672454833984,33.75,33.83000183105469,33.130001068115234,33.33000183105469,30345100
2024-06-03,33.062686920166016,33.18000030517578,33.869998931884766,32.869998931884766,33.65999984741211,9721700
2024-06-04,32.654136657714844,32.77000045776367,33.209999084472656,32.7400016784668,33.209999084472656,8229400
2024-06-05,32.93314743041992,33.04999923706055,33.130001068115234,32.59000015258789,32.79999923706055,8531400
2024-06-06,32.87335968017578,32.9900016784668,33.13999938964844,32.84000015258789,32.97999954223633,7093200
2024-06-07,32.63420867919922,32.75,33.25,32.65999984741211,32.86000061035156,8944800
2024-06-10,32.81357192993164,32.93000030517578,32.93000030517578,32.459999084472656,32.66999816894531,8326800
2024-06-11,32.55448913574219,32.66999816894531,32.83000183105469,32.560001373291016,32.68000030517578,6757400
2024-06-12,32.64417266845703,32.7599983215332,33.119998931884766,32.5099983215332,32.790000915527344,8229700
2024-06-13,32.41498565673828,32.529998779296875,32.68000030517578,32.220001220703125,32.540000915527344,7840400
2024-06-14,32.06622314453125,32.18000030517578,32.41999816894531,31.739999771118164,32.41999816894531,13292000
2024-06-17,32.49470520019531,32.61000061035156,32.709999084472656,31.920000076293945,32.0099983215332,14397800
2024-06-18,32.91321563720703,33.029998779296875,33.060001373291016,32.599998474121094,32.709999084472656,12603700
2024-06-20,33.192230224609375,33.310001373291016,33.369998931884766,32.779998779296875,32.83000183105469,10799800
2024-06-21,33.291873931884766,33.40999984741211,33.529998779296875,33.11000061035156,33.439998626708984,18688200
2024-06-24,33.09258270263672,33.209999084472656,33.810001373291016,33.189998626708984,33.540000915527344,9553500
