Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DDD,DDD,DDD,DDD,DDD,DDD
Date,,,,,,
2024-05-28,3.680000066757202,3.680000066757202,3.700000047683716,3.5399999618530273,3.549999952316284,1311900
2024-05-29,3.509999990463257,3.509999990463257,3.5999999046325684,3.509999990463257,3.5899999141693115,1293100
2024-05-30,3.5899999141693115,3.5899999141693115,3.700000047683716,3.5199999809265137,3.5799999237060547,1271400
2024-05-31,3.5199999809265137,3.5199999809265137,3.690000057220459,3.5199999809265137,3.619999885559082,1487900
2024-06-03,3.509999990463257,3.509999990463257,3.640000104904175,3.509999990463257,3.5899999141693115,904200
2024-06-04,3.4600000381469727,3.4600000381469727,3.569999933242798,3.4200000762939453,3.5,1534500
2024-06-05,4.159999847412109,4.159999847412109,4.320000171661377,3.819999933242798,3.8299999237060547,8135400
2024-06-06,4.389999866485596,4.389999866485596,4.699999809265137,4.099999904632568,4.130000114440918,7273400
2024-06-07,4.119999885559082,4.119999885559082,4.46999979019165,4.079999923706055,4.300000190734863,2799800
2024-06-10,4.010000228881836,4.010000228881836,4.059999942779541,3.880000114440918,4.019999980926514,2800700
2024-06-11,4.019999980926514,4.019999980926514,4.079999923706055,3.9000000953674316,3.9700000286102295,2271500
2024-06-12,3.9800000190734863,3.9800000190734863,4.210000038146973,3.9200000762939453,4.159999847412109,2114000
2024-06-13,3.7300000190734863,3.7300000190734863,3.9800000190734863,3.6600000858306885,3.950000047683716,3138800
2024-06-14,3.509999990463257,3.509999990463257,3.700000047683716,3.5,3.6700000762939453,2090800
2024-06-17,3.549999952316284,3.549999952316284,3.609999895095825,3.4800000190734863,3.5,1569800
2024-06-18,3.5199999809265137,3.5199999809265137,3.619999885559082,3.430000066757202,3.5299999713897705,2451400
2024-06-20,3.569999933242798,3.569999933242798,3.630000114440918,3.440000057220459,3.5,2055600
2024-06-21,3.5199999809265137,3.5199999809265137,3.6600000858306885,3.509999990463257,3.549999952316284,4864400
2024-06-24,3.2699999809265137,3.2699999809265137,3.5299999713897705,3.2699999809265137,3.509999990463257,3381700
2024-06-25,3.109999895095825,3.109999895095825,3.259999990463257,3.0799999237060547,3.259999990463257,2993100
2024-06-26,3.1600000858306885,3.1600000858306885,3.1600000858306885,3.0799999237060547,3.0999999046325684,1838000
2024-06-27,3.069999933242798,3.069999933242798,3.1700000762939453,3.009999990463257,3.1500000953674316,1799600
2024-06-28,3.069999933242798,3.069999933242798,3.119999885559082,2.9700000286102295,3.069999933242798,3256700
2024-07-01,2.9700000286102295,2.9700000286102295,3.0999999046325684,2.940000057220459,3.069999933242798,1965100
2024-07-02,2.950000047683716,2.950000047683716,3.069999933242798,2.940000057220459,2.9800000190734863,1452200
2024-07-03,3.0199999809265137,3.0199999809265137,3.180000066757202,2.930000066757202,2.9600000381469727,1552900
2024-07-05,3.200000047683716,3.200000047683716,3.200000047683716,2.9700000286102295,3.0199999809265137,2414000
2024-07-08,3.5,3.5,3.5199999809265137,3.2100000381469727,3.240000009536743,3109600
2024-07-09,3.4200000762939453,3.4200000762939453,3.609999895095825,3.380000114440918,3.5,1834400
2024-07-10,3.4800000190734863,3.4800000190734863,3.490000009536743,3.319999933242798,3.430000066757202,1139300
2024-07-11,3.7799999713897705,3.7799999713897705,3.799999952316284,3.5999999046325684,3.619999885559082,2437800
2024-07-12,3.9700000286102295,3.9700000286102295,4.010000228881836,3.809999942779541,3.8299999237060547,2246200
2024-07-15,3.9000000953674316,3.9000000953674316,3.990000009536743,3.7899999618530273,3.990000009536743,1511600
2024-07-16,4.099999904632568,4.099999904632568,4.130000114440918,3.9100000858306885,3.9600000381469727,1701500
2024-07-17,4.019999980926514,4.019999980926514,4.159999847412109,3.9600000381469727,4.010000228881836,1238300
2024-07-18,3.809999942779541,3.809999942779541,4.119999885559082,3.7799999713897705,4.039999961853027,1141500
2024-07-19,3.7300000190734863,3.7300000190734863,3.799999952316284,3.680000066757202,3.75,918300
2024-07-22,3.859999895095825,3.859999895095825,3.869999885559082,3.6500000953674316,3.759999990463257,1169400
2024-07-23,3.930000066757202,3.930000066757202,3.990000009536743,3.759999990463257,3.819999933242798,924200
2024-07-24,3.8499999046325684,3.8499999046325684,4.050000190734863,3.8499999046325684,3.9100000858306885,1139900
2024-07-25,3.990000009536743,3.990000009536743,4.130000114440918,3.799999952316284,3.799999952316284,1527100
2024-07-26,3.799999952316284,3.799999952316284,4.130000114440918,3.700000047683716,4.099999904632568,1862200
2024-07-29,3.640000104904175,3.640000104904175,3.7799999713897705,3.559999942779541,3.7699999809265137,1933700
2024-07-30,3.630000114440918,3.630000114440918,3.7200000286102295,3.5899999141693115,3.6500000953674316,839600
2024-07-31,3.6500000953674316,3.6500000953674316,3.859999895095825,3.569999933242798,3.6600000858306885,1510600
2024-08-01,3.390000104904175,3.390000104904175,3.680000066757202,3.3299999237060547,3.6500000953674316,1620600
2024-08-02,3.0799999237060547,3.0799999237060547,3.25,3.049999952316284,3.25,1948600
2024-08-05,2.859999895095825,2.859999895095825,3.009999990463257,2.8299999237060547,2.9000000953674316,2572200
2024-08-06,2.809999942779541,2.809999942779541,2.9100000858306885,2.690000057220459,2.9000000953674316,2374700
2024-08-07,2.630000114440918,2.630000114440918,2.940000057220459,2.619999885559082,2.9100000858306885,1593200
2024-08-08,2.7100000381469727,2.7100000381469727,2.740000009536743,2.640000104904175,2.6500000953674316,1708200
2024-08-09,2.4700000286102295,2.4700000286102295,2.700000047683716,2.430000066757202,2.5999999046325684,4939600
2024-08-12,2.3399999141693115,2.3399999141693115,2.4800000190734863,2.299999952316284,2.4800000190734863,2498000
2024-08-13,2.549999952316284,2.549999952316284,2.5999999046325684,2.4000000953674316,2.450000047683716,3020500
2024-08-14,2.3399999141693115,2.3399999141693115,2.640000104904175,2.2799999713897705,2.5899999141693115,4310900
2024-08-15,2.509999990463257,2.509999990463257,2.569999933242798,2.390000104904175,2.430000066757202,1843000
2024-08-16,2.440000057220459,2.440000057220459,2.569999933242798,2.4200000762939453,2.5,1896800
2024-08-19,2.5899999141693115,2.5899999141693115,2.5899999141693115,2.4600000381469727,2.490000009536743,1497600
2024-08-20,2.5199999809265137,2.5199999809265137,2.619999885559082,2.4700000286102295,2.569999933242798,1276800
2024-08-21,2.5899999141693115,2.5899999141693115,2.609999895095825,2.359999895095825,2.440000057220459,2399700
2024-08-22,2.5299999713897705,2.5299999713897705,2.680000066757202,2.5,2.5999999046325684,2210000
2024-08-23,2.630000114440918,2.630000114440918,2.7899999618530273,2.509999990463257,2.5799999237060547,2631000
2024-08-26,2.569999933242798,2.569999933242798,2.7200000286102295,2.559999942779541,2.6700000762939453,1806400
2024-08-27,2.450000047683716,2.450000047683716,2.5799999237060547,2.4200000762939453,2.549999952316284,2241500
2024-08-28,2.299999952316284,2.299999952316284,2.450000047683716,2.259999990463257,2.440000057220459,2309500
2024-08-29,2.3299999237060547,2.3299999237060547,2.4100000858306885,2.299999952316284,2.309999942779541,2676300
2024-08-30,2.140000104904175,2.140000104904175,2.309999942779541,2.069999933242798,2.309999942779541,7001300
2024-09-03,1.909999966621399,1.909999966621399,2.1600000858306885,1.850000023841858,2.1600000858306885,5659600
2024-09-04,1.8899999856948853,1.8899999856948853,2.069999933242798,1.8799999952316284,1.909999966621399,3752200
2024-09-05,1.9500000476837158,1.9500000476837158,2.0,1.850000023841858,1.899999976158142,3492800
2024-09-06,1.8799999952316284,1.8799999952316284,1.9900000095367432,1.850000023841858,1.9199999570846558,3490800
2024-09-09,2.0399999618530273,2.0399999618530273,2.0899999141693115,1.7200000286102295,1.8600000143051147,6339400
