Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DLR,DLR,DLR,DLR,DLR,DLR
Date,,,,,,
2024-05-28,141.51480102539062,143.77000427246094,144.0399932861328,142.75999450683594,143.8699951171875,1191300
2024-05-29,139.2115020751953,141.42999267578125,142.8800048828125,140.27000427246094,142.42999267578125,1340100
2024-05-30,141.7805633544922,144.0399932861328,144.6199951171875,141.9499969482422,142.86000061035156,1235300
2024-05-31,143.06016540527344,145.33999633789062,145.63999938964844,142.9199981689453,144.92999267578125,3657100
2024-06-03,140.79624938964844,143.0399932861328,145.66000366210938,142.4600067138672,145.35000610351562,1196200
2024-06-04,142.84361267089844,145.1199951171875,146.0500030517578,141.94000244140625,142.92999267578125,1403900
2024-06-05,145.04849243164062,147.36000061035156,147.3800048828125,144.67999267578125,145.64999389648438,1047100
2024-06-06,144.812255859375,147.1199951171875,147.50999450683594,146.17999267578125,147.3000030517578,807400
2024-06-07,144.05433654785156,146.35000610351562,147.2100067138672,144.75999450683594,145.27000427246094,1070100
2024-06-10,146.7513427734375,149.08999633789062,149.4600067138672,145.36000061035156,146.25,1506800
2024-06-11,147.52896118164062,149.8800048828125,150.50999450683594,148.42999267578125,148.88999938964844,1337600
2024-06-12,147.24349975585938,149.58999633789062,153.02000427246094,149.07000732421875,152.97000122070312,1748200
2024-06-13,147.41082763671875,149.75999450683594,151.14999389648438,149.4199981689453,150.67999267578125,1496300
2024-06-14,148.7803497314453,149.9199981689453,150.85000610351562,148.5800018310547,149.11000061035156,1000400
2024-06-17,147.87725830078125,149.00999450683594,150.5500030517578,148.5,149.05999755859375,1192200
2024-06-18,148.42308044433594,149.55999755859375,151.13999938964844,149.3800048828125,150.35000610351562,1095700
2024-06-20,146.76577758789062,147.88999938964844,150.61000061035156,147.6999969482422,149.27999877929688,1315000
2024-06-21,147.2222900390625,148.35000610351562,148.5,145.91000366210938,148.22999572753906,3589400
2024-06-24,145.8924560546875,147.00999450683594,150.92999267578125,146.83999633789062,148.72999572753906,1502600
2024-06-25,145.32679748535156,146.44000244140625,147.47000122070312,145.2899932861328,146.9600067138672,1218800
2024-06-26,145.77337646484375,146.88999938964844,148.4199981689453,145.92999267578125,147.5,1748600
2024-06-27,147.5894775390625,148.72000122070312,150.2899932861328,146.91000366210938,147.57000732421875,1660900
2024-06-28,150.8941650390625,152.0500030517578,153.25,150.25,150.42999267578125,3406300
2024-07-01,150.9735565185547,152.1300048828125,152.92999267578125,150.61000061035156,151.9499969482422,1483900
2024-07-02,151.74761962890625,152.91000366210938,153.77999877929688,151.9199981689453,152.17999267578125,1162800
2024-07-03,150.55674743652344,151.7100067138672,154.05999755859375,151.6999969482422,153.3800048828125,879700
2024-07-05,150.28878784179688,151.44000244140625,152.50999450683594,150.35000610351562,151.8000030517578,1261800
2024-07-08,152.49192810058594,153.66000366210938,153.99000549316406,151.42999267578125,151.49000549316406,1149400
2024-07-09,152.13465881347656,153.3000030517578,154.1300048828125,151.61000061035156,153.75,1080400
2024-07-10,154.4469451904297,155.6300048828125,155.77999877929688,153.25999450683594,154.0,1459700
2024-07-11,156.53097534179688,157.72999572753906,160.4600067138672,157.00999450683594,157.6999969482422,1678200
2024-07-12,157.14627075195312,158.35000610351562,159.57000732421875,158.0500030517578,158.5500030517578,1284100
2024-07-15,158.2875213623047,159.5,159.6999969482422,157.5399932861328,158.92999267578125,943300
2024-07-16,161.09600830078125,162.3300018310547,162.5800018310547,159.27000427246094,160.38999938964844,1192900
2024-07-17,155.6378173828125,156.8300018310547,162.3300018310547,156.17999267578125,161.24000549316406,2012300
2024-07-18,153.42477416992188,154.60000610351562,157.22000122070312,154.22999572753906,156.3699951171875,1414600
2024-07-19,153.9904327392578,155.1699981689453,155.97999572753906,154.2100067138672,155.66000366210938,1168800
2024-07-22,154.37747192382812,155.55999755859375,156.67999267578125,154.10000610351562,155.3300018310547,1347900
2024-07-23,153.91104125976562,155.08999633789062,156.72999572753906,154.8699951171875,155.17999267578125,1128300
2024-07-24,150.5071258544922,151.66000366210938,155.61000061035156,151.49000549316406,154.75,1568100
2024-07-25,146.24972534179688,147.3699951171875,151.86000061035156,146.13999938964844,151.64999389648438,2489900
2024-07-26,144.5428009033203,145.64999389648438,146.39999389648438,141.0,142.86000061035156,3204900
2024-07-29,146.07110595703125,147.19000244140625,147.5,144.57000732421875,145.6300048828125,1628400
