Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DYLG,DYLG,DYLG,DYLG,DYLG,DYLG
Date,,,,,,
2024-05-28,27.009000778198242,27.009000778198242,27.009000778198242,27.009000778198242,27.009000778198242,100
2024-05-29,26.76300048828125,26.76300048828125,26.76300048828125,26.76300048828125,26.76300048828125,100
2024-05-30,26.540000915527344,26.540000915527344,26.540000915527344,26.540000915527344,26.540000915527344,100
2024-05-31,26.92799949645996,26.92799949645996,26.92799949645996,26.92799949645996,26.92799949645996,100
2024-06-03,26.85300064086914,26.85300064086914,26.85300064086914,26.85300064086914,26.85300064086914,100
2024-06-04,26.96500015258789,26.96500015258789,26.96500015258789,26.81999969482422,26.81999969482422,400
2024-06-05,27.035999298095703,27.035999298095703,27.035999298095703,26.8799991607666,26.8799991607666,200
2024-06-06,27.08099937438965,27.08099937438965,27.08099937438965,27.08099937438965,27.08099937438965,100
2024-06-07,27.054000854492188,27.054000854492188,27.054000854492188,27.054000854492188,27.054000854492188,100
2024-06-10,27.079999923706055,27.079999923706055,27.079999923706055,27.079999923706055,27.079999923706055,100
2024-06-11,26.9950008392334,26.9950008392334,26.9950008392334,26.9950008392334,26.9950008392334,100
2024-06-12,27.0049991607666,27.0049991607666,27.0049991607666,27.0049991607666,27.0049991607666,100
2024-06-13,26.951000213623047,26.951000213623047,26.951000213623047,26.84000015258789,26.84000015258789,200
2024-06-14,26.878000259399414,26.878000259399414,26.8799991607666,26.878000259399414,26.8799991607666,700
2024-06-17,27.048999786376953,27.048999786376953,27.048999786376953,27.048999786376953,27.048999786376953,100
2024-06-18,27.086000442504883,27.086000442504883,27.086000442504883,27.086000442504883,27.086000442504883,100
2024-06-20,27.290000915527344,27.290000915527344,27.399999618530273,27.170000076293945,27.399999618530273,400
2024-06-21,27.30500030517578,27.30500030517578,27.30500030517578,27.30500030517578,27.30500030517578,100
2024-06-24,27.398000717163086,27.398000717163086,27.398000717163086,27.398000717163086,27.398000717163086,100
2024-06-25,27.224000930786133,27.224000930786133,27.224000930786133,27.224000930786133,27.224000930786133,100
2024-06-26,27.26799964904785,27.26799964904785,27.26799964904785,27.26799964904785,27.26799964904785,100
2024-06-27,27.270000457763672,27.270000457763672,27.270000457763672,27.270000457763672,27.270000457763672,100
2024-06-28,27.25200080871582,27.25200080871582,27.25200080871582,27.25200080871582,27.25200080871582,100
2024-07-01,27.301000595092773,27.301000595092773,27.301000595092773,27.301000595092773,27.301000595092773,100
2024-07-02,27.38800048828125,27.38800048828125,27.38800048828125,27.38800048828125,27.38800048828125,100
2024-07-03,27.391000747680664,27.391000747680664,27.391000747680664,27.391000747680664,27.391000747680664,100
2024-07-05,27.448999404907227,27.448999404907227,27.448999404907227,27.448999404907227,27.448999404907227,100
2024-07-08,27.429000854492188,27.429000854492188,27.429000854492188,27.429000854492188,27.429000854492188,100
2024-07-09,27.399999618530273,27.399999618530273,27.399999618530273,27.399999618530273,27.399999618530273,100
2024-07-10,27.621000289916992,27.621000289916992,27.621000289916992,27.621000289916992,27.621000289916992,100
2024-07-11,27.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,100
2024-07-12,27.777000427246094,27.777000427246094,27.777000427246094,27.777000427246094,27.777000427246094,100
2024-07-15,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,100
2024-07-16,28.132999420166016,28.132999420166016,28.132999420166016,28.132999420166016,28.132999420166016,100
2024-07-17,28.25,28.25,28.25,28.202999114990234,28.219999313354492,600
2024-07-18,28.031999588012695,28.031999588012695,28.031999588012695,28.031999588012695,28.031999588012695,100
2024-07-19,27.76799964904785,27.76799964904785,27.76799964904785,27.76799964904785,27.76799964904785,100
2024-07-22,27.783000946044922,27.783000946044922,27.783000946044922,27.783000946044922,27.783000946044922,100
2024-07-23,27.749000549316406,27.749000549316406,27.749000549316406,27.749000549316406,27.749000549316406,100
2024-07-24,27.47100067138672,27.47100067138672,27.47100067138672,27.47100067138672,27.47100067138672,100
2024-07-25,27.551000595092773,27.551000595092773,27.551000595092773,27.551000595092773,27.551000595092773,100
2024-07-26,27.861000061035156,27.861000061035156,27.861000061035156,27.861000061035156,27.861000061035156,100
2024-07-29,27.871000289916992,27.871000289916992,27.871000289916992,27.871000289916992,27.871000289916992,100
2024-07-30,27.986000061035156,27.986000061035156,27.986000061035156,27.986000061035156,27.986000061035156,100
2024-07-31,28.040000915527344,28.040000915527344,28.040000915527344,28.040000915527344,28.040000915527344,100
2024-08-01,27.75200080871582,27.75200080871582,27.780000686645508,27.75200080871582,27.780000686645508,1500
