Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EDAP,EDAP,EDAP,EDAP,EDAP,EDAP
Date,,,,,,
2024-05-28,5.849999904632568,5.849999904632568,6.139999866485596,5.739999771118164,6.039999961853027,40900
2024-05-29,5.869999885559082,5.869999885559082,5.929999828338623,5.46999979019165,5.889999866485596,64700
2024-05-30,5.769999980926514,5.769999980926514,5.900000095367432,5.550000190734863,5.760000228881836,32900
2024-05-31,5.949999809265137,5.949999809265137,6.010000228881836,5.619999885559082,5.869999885559082,21700
2024-06-03,5.389999866485596,5.389999866485596,5.940000057220459,5.25,5.800000190734863,169500
2024-06-04,5.489999771118164,5.489999771118164,5.5,5.309999942779541,5.309999942779541,12000
2024-06-05,5.25,5.25,5.449999809265137,5.139999866485596,5.409999847412109,43300
2024-06-06,5.21999979019165,5.21999979019165,5.25,5.010000228881836,5.199999809265137,25400
2024-06-07,5.25,5.25,5.360000133514404,5.210000038146973,5.25,16100
2024-06-10,5.300000190734863,5.300000190734863,5.380000114440918,5.21999979019165,5.369999885559082,13000
2024-06-11,5.300000190734863,5.300000190734863,5.400000095367432,5.210000038146973,5.21999979019165,10200
2024-06-12,5.269999980926514,5.269999980926514,5.380000114440918,5.039999961853027,5.139999866485596,47200
2024-06-13,5.320000171661377,5.320000171661377,5.349999904632568,5.099999904632568,5.210000038146973,8600
2024-06-14,5.380000114440918,5.380000114440918,5.409999847412109,5.289999961853027,5.289999961853027,5400
2024-06-17,5.329999923706055,5.329999923706055,5.369999885559082,5.179999828338623,5.349999904632568,11700
2024-06-18,5.260000228881836,5.260000228881836,5.300000190734863,5.190000057220459,5.199999809265137,11700
2024-06-20,5.28000020980835,5.28000020980835,5.309999942779541,5.21999979019165,5.309999942779541,9500
2024-06-21,5.269999980926514,5.269999980926514,5.349999904632568,5.150000095367432,5.21999979019165,24200
2024-06-24,5.329999923706055,5.329999923706055,5.340000152587891,5.119999885559082,5.340000152587891,35700
2024-06-25,5.25,5.25,5.309999942779541,5.199999809265137,5.309999942779541,6600
2024-06-26,5.170000076293945,5.170000076293945,5.340000152587891,5.150000095367432,5.179999828338623,14400
2024-06-27,5.21999979019165,5.21999979019165,5.21999979019165,4.949999809265137,5.179999828338623,85900
2024-06-28,5.440000057220459,5.440000057220459,5.440000057220459,5.110000133514404,5.139999866485596,97900
2024-07-01,5.21999979019165,5.21999979019165,5.460000038146973,5.119999885559082,5.460000038146973,29000
2024-07-02,5.300000190734863,5.300000190734863,5.300000190734863,5.199999809265137,5.199999809265137,9000
2024-07-03,5.179999828338623,5.179999828338623,5.28000020980835,5.150000095367432,5.28000020980835,4200
2024-07-05,5.150000095367432,5.150000095367432,5.179999828338623,5.070000171661377,5.179999828338623,11900
2024-07-08,5.070000171661377,5.070000171661377,5.119999885559082,4.980000019073486,5.119999885559082,20900
2024-07-09,5.090000152587891,5.090000152587891,5.130000114440918,5.019999980926514,5.03000020980835,7200
2024-07-10,5.010000228881836,5.010000228881836,5.130000114440918,4.840000152587891,5.019999980926514,73500
2024-07-11,4.940000057220459,4.940000057220459,5.099999904632568,4.920000076293945,4.949999809265137,23300
2024-07-12,4.949999809265137,4.949999809265137,5.0,4.880000114440918,4.900000095367432,33300
2024-07-15,4.989999771118164,4.989999771118164,5.110000133514404,4.940000057220459,4.940000057220459,31100
2024-07-16,5.199999809265137,5.199999809265137,5.260000228881836,5.0,5.110000133514404,29400
2024-07-17,5.159999847412109,5.159999847412109,5.269999980926514,4.980000019073486,5.199999809265137,19700
2024-07-18,4.960000038146973,4.960000038146973,5.119999885559082,4.960000038146973,5.119999885559082,11600
2024-07-19,5.099999904632568,5.099999904632568,5.170000076293945,4.960000038146973,4.960000038146973,6600
2024-07-22,4.96999979019165,4.96999979019165,5.150000095367432,4.900000095367432,4.900000095367432,24300
2024-07-23,4.619999885559082,4.619999885559082,4.96999979019165,4.5,4.96999979019165,104000
2024-07-24,4.769999980926514,4.769999980926514,4.860000133514404,4.650000095367432,4.769999980926514,10500
2024-07-25,4.679999828338623,4.679999828338623,4.730000019073486,4.630000114440918,4.730000019073486,9900
2024-07-26,4.650000095367432,4.650000095367432,4.71999979019165,4.619999885559082,4.630000114440918,23600
2024-07-29,4.829999923706055,4.829999923706055,4.880000114440918,4.659999847412109,4.659999847412109,13300
2024-07-30,4.889999866485596,4.889999866485596,4.889999866485596,4.769999980926514,4.840000152587891,1700
2024-07-31,4.889999866485596,4.889999866485596,4.949999809265137,4.880000114440918,4.880000114440918,13700
2024-08-01,4.880000114440918,4.880000114440918,4.920000076293945,4.730000019073486,4.920000076293945,3400
2024-08-02,4.760000228881836,4.760000228881836,4.880000114440918,4.710000038146973,4.800000190734863,5800
2024-08-05,4.619999885559082,4.619999885559082,4.730000019073486,4.519999980926514,4.650000095367432,19400
2024-08-06,4.840000152587891,4.840000152587891,4.900000095367432,4.599999904632568,4.639999866485596,8300
2024-08-07,4.880000114440918,4.880000114440918,4.929999828338623,4.699999809265137,4.699999809265137,17700
2024-08-08,4.800000190734863,4.800000190734863,4.889999866485596,4.690000057220459,4.889999866485596,16500
2024-08-09,4.400000095367432,4.400000095367432,4.849999904632568,4.239999771118164,4.769999980926514,87100
2024-08-12,4.179999828338623,4.179999828338623,4.289999961853027,4.159999847412109,4.28000020980835,46300
2024-08-13,4.190000057220459,4.190000057220459,4.300000190734863,4.130000114440918,4.269999980926514,63300
2024-08-14,4.179999828338623,4.179999828338623,4.199999809265137,4.130000114440918,4.159999847412109,17100
2024-08-15,4.199999809265137,4.199999809265137,4.199999809265137,4.139999866485596,4.139999866485596,19500
2024-08-16,4.309999942779541,4.309999942779541,4.420000076293945,4.199999809265137,4.199999809265137,36900
2024-08-19,4.199999809265137,4.199999809265137,4.309999942779541,4.190000057220459,4.260000228881836,71400
2024-08-20,4.210000038146973,4.210000038146973,4.400000095367432,4.159999847412109,4.179999828338623,55500
2024-08-21,4.199999809265137,4.199999809265137,4.239999771118164,4.190000057220459,4.21999979019165,36400
2024-08-22,4.179999828338623,4.179999828338623,4.329999923706055,4.150000095367432,4.150000095367432,46600
2024-08-23,4.050000190734863,4.050000190734863,4.190000057220459,4.050000190734863,4.150000095367432,67000
2024-08-26,3.119999885559082,3.119999885559082,4.21999979019165,3.0999999046325684,4.010000228881836,526200
2024-08-27,2.869999885559082,2.869999885559082,3.2200000286102295,2.7100000381469727,3.130000114440918,353600
2024-08-28,2.990000009536743,2.990000009536743,3.4100000858306885,2.7899999618530273,3.0,546800
2024-08-29,3.259999990463257,3.259999990463257,3.259999990463257,3.0299999713897705,3.140000104904175,86600
2024-08-30,3.619999885559082,3.619999885559082,3.619999885559082,3.240000009536743,3.240000009536743,67900
2024-09-03,3.490000009536743,3.490000009536743,3.7699999809265137,3.390000104904175,3.619999885559082,101300
2024-09-04,3.2100000381469727,3.2100000381469727,3.569999933242798,3.119999885559082,3.450000047683716,76700
2024-09-05,3.140000104904175,3.140000104904175,3.3299999237060547,3.0299999713897705,3.180000066757202,55600
