,Forecast,Lower CI,Upper CI
2024-11-28,234.69783142295057,232.8671366070818,236.52852623881935
2024-11-29,234.8322354867568,232.27351779651073,237.39095317700284
2024-12-02,234.78175101020804,231.67483116078972,237.88867085962636
2024-12-03,234.8739469556946,231.30927801897192,238.4386158924173
2024-12-04,235.17051568805167,231.2043481821706,239.13668319393273
2024-12-05,235.20034810199553,230.8717908104677,239.52890539352336
2024-12-06,234.9780960730565,230.3163391956005,239.63985295051248
2024-12-09,234.8657112162795,229.89364105954235,239.83778137301664
2024-12-10,234.82965198365517,229.56586701260443,240.0934369547059
2024-12-11,235.0039936815892,229.46402080406688,240.54396655911154
2024-12-12,235.23589298295158,229.43296740613556,241.0388185597676
2024-12-13,235.54569881975954,229.49128929087752,241.60010834864156
2024-12-16,235.8112650393817,229.51544228193612,242.1070877968273
2024-12-17,235.82799491419507,229.2996990180777,242.35629081031246
2024-12-18,235.86153553582204,229.10877565901856,242.61429541262552
2024-12-19,235.91259181888293,228.94259900156072,242.88258463620514
2024-12-20,235.9184959442447,228.73784248498,243.09914940350941
2024-12-23,236.1785854842019,228.79327985848846,243.56389110991535
2024-12-24,236.1489868576429,228.5645504342951,243.7334232809907
2024-12-25,236.15874234108225,228.3802718930757,243.9372127890888
2024-12-26,236.22757545359457,228.2597951301699,244.19535577701924
2024-12-27,236.202329362689,228.0496340656519,244.3550246597261
2024-12-30,236.25545396699823,227.92194594767125,244.58896198632522
2024-12-31,236.30694411442852,227.79646410304846,244.81742412580857
2025-01-01,236.05040075168083,227.36655463118365,244.734246872178
2025-01-02,236.1903657742469,227.3365475890273,245.04418395946652
2025-01-03,236.2136447570841,227.1930566814575,245.2342328327107
2025-01-06,236.12601316199377,226.9416829271297,245.31034339685783
2025-01-07,236.15752996574338,226.8123261470109,245.50273378447585
2025-01-08,236.23032031990263,226.72696581130893,245.73367482849633
2025-01-09,236.1424461805168,226.49201657237353,245.79287578866007
2025-01-10,236.40695544543814,226.6114647179363,246.20244617294
2025-01-13,236.4305898122536,226.4920427992812,246.369136825226
2025-01-14,236.50966326634116,226.4300251864399,246.58930134624242
2025-01-15,236.62350390257532,226.4046850501186,246.84232275503206
2025-01-16,236.64970675538623,226.29355573179456,247.0058577789779
2025-01-17,236.46720141749276,225.97550310607735,246.95889972890816
2025-01-20,236.43013485967714,225.80461097526398,247.0556587440903
2025-01-21,236.4056619668989,225.64797294727438,247.1633509865234
2025-01-22,236.44885704671242,225.56060459007506,247.33710950334978
2025-01-23,236.52558943405882,225.5083192943154,247.54285957380222
2025-01-24,236.71920632924707,225.5744111567142,247.86400150177994
2025-01-27,236.94389473650108,225.67301685151324,248.21477262148892
2025-01-28,237.0107169052318,225.61515094862125,248.40628286184233
2025-01-29,237.01744916717595,225.49854460314793,248.53635373120397
2025-01-30,237.234067183502,225.5931306477579,248.87500371924608
2025-01-31,237.22149518838933,225.4597926835825,248.98319769319616
2025-02-03,237.37647498945074,225.49523393471475,249.25771604418674
2025-02-04,237.3479208785223,225.34833218983303,249.34750956721157
2025-02-05,237.38862353608593,225.27184307874975,249.5054039934221
2025-02-06,237.56401843978756,225.3311688635304,249.79686801604473
2025-02-07,237.42646202478082,225.07863432321145,249.7742897263502
2025-02-10,237.58388730016515,225.12214227020584,250.04563233012445
2025-02-11,237.642707662599,225.06807727176266,250.21733805343536
2025-02-12,237.42049473703872,224.7339834057712,250.10700606830625
2025-02-13,237.53866522942877,224.7412510351059,250.33607942375164
2025-02-14,237.60858462020545,224.70122042878901,250.51594881162188
2025-02-17,237.6294982734224,224.6131128042433,250.6458837426015
2025-02-18,237.7368963281995,224.61239515684954,250.86139749954944
2025-02-19,237.8002234929923,224.5684899968657,251.0319569891189
2025-02-20,237.7096109339568,224.36923628645246,251.04998558146116
2025-02-21,237.96954637433416,224.52146147902423,251.4176312696441
2025-02-24,237.99057510683528,224.4356668145583,251.54548339911227
2025-02-25,238.07010988142716,224.4092315205404,251.7309882423139
2025-02-26,238.19037429666233,224.42435208837938,251.95639650494527
2025-02-27,238.21670474659615,224.34634181550925,252.08706767768305
2025-02-28,238.0328021201373,224.05888109325116,252.00672314702342
2025-03-03,237.9930877592195,223.9163725312225,252.0698029872165
2025-03-04,237.96820755053153,223.78944455178828,252.14697054927478
2025-03-05,238.01601306966455,223.735932233266,252.2960939060631
2025-03-06,238.09820032612987,223.71751586885873,252.478884783401
2025-03-07,238.29590182577658,223.8153129104419,252.77649074111127
2025-03-10,238.5220272862719,223.94221860525974,253.10183596728407
2025-03-11,238.5870884680916,223.90873077187882,253.26544616430436
2025-03-12,238.59476317381657,223.81851375878605,253.3710125888471
2025-03-13,238.8055608927797,223.9320640571538,253.6790577284056
2025-03-14,238.79363842285267,223.8235258963019,253.76375094940343
2025-03-17,238.95231334068052,223.88620469121244,254.0184219901486
2025-03-18,238.9237225099656,223.76222575322186,254.08521926670932
2025-03-19,238.96333722436495,223.70704875451062,254.21962569421927
2025-03-20,239.13498596462517,223.78449112603886,254.4854808032115
2025-03-21,239.00137780185383,223.55725122666922,254.44550437703845
2025-03-24,239.15513640312778,223.6179423343227,254.69233047193288
2025-03-25,239.21369907297637,223.58399167386995,254.8434064720828
2025-03-26,238.99027926615696,223.2686029170854,254.71195561522853
2025-03-27,239.10921594191595,223.29610552478724,254.92232635904466
2025-03-28,239.17749569629785,223.2734768676699,255.0815145249258
2025-03-31,239.1945934579422,223.20018291122142,255.189004004663
2025-04-01,239.2993239189661,223.2150296362825,255.3836182016497
2025-04-02,239.3629837607311,223.1893052550098,255.53666226645242
