,Forecast,Lower CI,Upper CI
2024-11-28,171.47608757909816,168.78319900001998,174.16897615817635
2024-11-29,171.50622518713982,167.75722065525287,175.25522971902677
2024-12-02,173.21219984414515,168.6835433634594,177.7408563248309
2024-12-03,174.42042494110467,169.30138380238367,179.53946607982567
2024-12-04,172.41540028500944,166.76245200274224,178.06834856727664
2024-12-05,171.44680155921614,165.30319931014543,177.59040380828685
2024-12-06,171.69905571579238,165.0980863203677,178.30002511121705
2024-12-09,171.3395186914172,164.31127514153107,178.36776224130332
2024-12-10,173.5464203067719,166.11563651110836,180.97720410243542
2024-12-11,173.3666350477299,165.55416272289398,181.1791073725658
2024-12-12,169.93682216391534,161.7604309507513,178.11321337707938
2024-12-13,169.6545548091639,161.1297530617166,178.1793565566112
2024-12-16,170.6268305038482,161.7673031951931,179.4863578125033
2024-12-17,171.42339815193182,162.2413413877689,180.60545491609474
2024-12-18,173.54287997603558,164.04924558237053,183.03651436970063
2024-12-19,174.07152504911966,164.04752375662716,184.09552634161216
2024-12-20,173.5510875240873,163.03110314183357,184.07107190634105
2024-12-23,175.00409853620053,164.01636379834224,185.99183327405882
2024-12-24,176.18160825024387,164.75790721826982,187.60530928221792
2024-12-25,173.79144463849886,161.94690053510575,185.63598874189196
2024-12-26,172.55834641557283,160.3068225544439,184.80987027670176
2024-12-27,172.54226464080958,159.89622361021662,185.18830567140253
2024-12-30,173.85967805833621,160.83114318966767,186.88821292700476
2024-12-31,176.4762165987713,163.0761458595417,189.87628733800088
2025-01-01,177.70355421179715,163.94200523572786,191.46510318786645
2025-01-02,172.83624015442572,158.72246147890792,186.95001882994353
2025-01-03,171.91703254624247,157.45960009616948,186.37446499631545
2025-01-06,172.3083578602861,157.51525137659485,187.10146434397734
2025-01-07,173.19937380138717,158.07804345472945,188.32070414804488
2025-01-08,176.6226905260898,161.18011115100649,192.0652699011731
2025-01-09,178.53932504618012,162.53571990241005,194.5429301899502
2025-01-10,177.43886188602252,160.90171511593192,193.97600865611312
2025-01-13,179.2284951225508,162.18104441512298,196.27594582997864
2025-01-14,180.48343519870133,162.95479767866016,198.0120727187425
2025-01-15,178.03800556384158,160.04000226183337,196.0360088658498
2025-01-16,176.13423196536692,157.67812475814796,194.59033917258589
2025-01-17,174.84266663600255,155.9388267065354,193.7465065654697
2025-01-20,176.27355653257393,156.93244183252384,195.61467123262403
