,Forecast,Lower CI,Upper CI
2024-11-28,575.7384526553677,564.297341373859,587.1795639368764
2024-11-29,574.6840456193024,558.8628756706544,590.5052155679505
2024-12-02,574.1509032232948,555.1335945802496,593.16821186634
2024-12-03,578.2345013105494,556.6175267943603,599.8514758267385
2024-12-04,569.912105327303,546.0615407960919,593.7626698585142
2024-12-05,573.8676205125848,548.0320870746888,599.7031539504809
2024-12-06,572.6150628512831,544.9747697133971,600.2553559891692
2024-12-09,570.0253140762305,540.7171883067592,599.3334398457018
2024-12-10,579.7166402663885,548.8485998942637,610.5846806385133
2024-12-11,579.8922254970607,547.5518785950972,612.2325723990243
2024-12-12,569.5070728874512,535.7673005856464,603.246845189256
2024-12-13,570.3311290516411,535.2538147297925,605.4084433734898
2024-12-16,570.6154307762945,534.2540328480087,606.9768287045803
2024-12-17,575.3488354841809,537.7502113390963,612.9474596292655
2024-12-18,570.2611897380451,531.4669197777368,609.0554596983534
2024-12-19,578.2643610791145,537.2228105123071,619.3059116459218
2024-12-20,577.0487684799001,533.9314079111844,620.1661290486159
2024-12-23,574.5769880111869,529.5170451028406,619.6369309195333
2024-12-24,578.9751966093825,532.0793311321248,625.8710620866401
2024-12-25,567.9672277666597,519.3230728394782,616.6113826938412
2024-12-26,569.982943906201,519.6641417638018,620.3017460486001
2024-12-27,564.8345440780016,512.904201068924,616.7648870870793
2024-12-30,565.8809509159345,512.3940630860618,619.3678387458071
2024-12-31,576.7087408708444,521.7139317722101,631.7035499694787
2025-01-01,577.5155330205158,521.0563220740086,633.9747439670231
2025-01-02,564.3240598932489,506.43980438487927,622.2083154016185
2025-01-03,563.2883616372301,504.01496809068874,622.5617551837714
2025-01-06,562.726509144592,502.0969792781095,623.3560390110745
2025-01-07,571.1470623085403,509.19191867189454,633.102205945186
2025-01-08,568.0259334564435,504.7735563616012,631.2783105512857
2025-01-09,579.9237628208366,514.3260318796018,645.5214937620714
2025-01-10,578.3305503125238,510.5219564318443,646.1391441932033
2025-01-13,575.0535711863616,505.1414700648364,644.9656723078868
2025-01-14,578.339475031543,506.4117743355722,650.2671757275137
2025-01-15,570.4149948322977,496.54536442669774,644.2846252378977
2025-01-16,571.1961699761821,495.44764467399835,646.9446952783658
2025-01-17,560.5319825413421,482.95949658922297,638.1044684934614
2025-01-20,560.2439993126678,480.8961971308744,639.5918014944613
2025-01-21,569.2029787392829,488.12352741067974,650.2824300678861
2025-01-22,571.1699489645889,488.39850298770995,653.9413949414679
2025-01-23,562.7951054669197,478.36802587212026,647.2221850617192
2025-01-24,561.2221253497125,475.17302337076933,647.2712273286558
2025-01-27,563.3327915118108,475.6929456231138,650.9726374005078
2025-01-28,570.6771811011806,481.47586170134963,659.8785005010116
2025-01-29,566.5277608631916,475.792486898246,657.2630348281372
2025-01-30,575.2956432882394,481.5557362858607,669.0355502906181
2025-01-31,574.0130209465211,477.4376296206485,670.5884122723937
2025-02-03,571.9903886042467,472.7136799549751,671.2670972535184
2025-02-04,575.8981173015994,474.02927882062016,677.7669557825786
2025-02-05,566.923017880886,462.55304631860133,671.2929894431708
2025-02-06,569.2440712300469,462.4504659390067,676.0376765210871
2025-02-07,563.6888045478678,454.538863619432,672.8387454763035
2025-02-10,562.9370931986116,451.4902609827124,674.3839254145107
2025-02-11,572.7151585274623,459.02471945710187,686.4055975978227
2025-02-12,573.6774070662959,457.79172333970223,689.5630907928896
2025-02-13,563.1458935325809,445.1093210163196,681.1824660488421
2025-02-14,562.6200694704933,442.4736443631348,682.7664945778517
2025-02-17,563.2701865096269,441.05214717327675,685.488225845977
2025-02-18,569.9604456672439,445.7066348595109,694.2142564749769
2025-02-19,565.7638400975036,439.50801962394974,692.0196605710574
2025-02-20,575.1643544173736,445.9471046980848,704.3816041366624
2025-02-21,573.8156681473416,441.7515556899183,705.879780604765
2025-02-24,571.2590058932178,436.4423697289848,706.0756420574509
2025-02-25,575.1667286613782,437.67706448280103,712.6563928399554
2025-02-26,565.7446273881387,425.6503595761209,705.8388952001566
2025-02-27,567.5014273434608,424.8625836507138,710.1402710362079
2025-02-28,560.6012080582308,415.4713370697241,705.7310790467375
2025-03-03,560.6527839894935,413.08034415598655,708.2252238230005
2025-03-04,570.5806848171153,420.61006121879717,720.5513084154334
2025-03-05,571.7794265058125,419.45168318355377,724.1071698280712
2025-03-06,560.8919951339961,406.24543817347205,715.5385520945202
2025-03-07,559.8702678041066,402.9408720097782,716.7996635984349
2025-03-10,560.4981534073602,401.31988994878725,719.6764168659331
2025-03-11,568.0222755519421,406.62736718768497,729.4171839161993
2025-03-12,564.2387260306134,400.65784894756155,727.8196031136653
2025-03-13,574.3810487666143,407.67624039007933,741.0858571431493
2025-03-14,572.960934067874,403.2363621951556,742.6855059405923
2025-03-17,570.2932494463273,397.6350303185603,742.9514685740943
2025-03-18,573.9701418613055,398.4511294883453,749.4891542342657
2025-03-19,565.234879331414,386.91804203800604,743.5517166248221
2025-03-20,566.7947313290136,385.73555583510273,747.8539068229245
2025-03-21,558.8910768780485,375.13929537637716,742.6428583797198
2025-03-24,558.5813834732268,372.1822250332359,744.9805419132176
2025-03-25,568.1057258589198,379.1008310405706,757.1106206772689
2025-03-26,569.520400192156,377.9484956237186,761.0923047605934
2025-03-27,559.669913157312,365.5673140167047,753.7725122979192
2025-03-28,558.5887593440524,361.98974775863064,755.1877709294741
2025-03-31,559.773593655189,360.710707136371,758.836480174007
2025-04-01,566.986824262866,365.4910785290807,768.4825699966513
2025-04-02,562.9465052018213,359.04756884664073,766.8454415570019
